Epoch	Train Loss	Test Loss	Test Accuracy
1	4.6156	4.5846	3.12%
2	4.5608	4.4979	3.43%
3	4.5078	4.4492	3.74%
4	4.4578	4.3872	4.36%
5	4.4509	4.3608	5.30%
6	4.4166	4.3555	5.30%
7	4.4311	4.3693	5.30%
8	4.4160	4.3639	4.36%
9	4.4210	4.3677	5.92%
10	4.4266	4.3355	4.67%
11	4.4072	4.3530	5.30%
12	4.4172	4.3470	4.67%
13	4.3989	4.3604	4.98%
14	4.4049	4.3730	4.36%
15	4.4090	4.3598	2.80%
16	4.4048	4.3466	5.61%
17	4.4155	4.3456	4.67%
18	4.4015	4.3398	5.61%
19	4.4017	4.3715	6.54%
20	4.4088	4.3466	4.98%
21	4.4047	4.3542	5.92%
22	4.4041	4.3593	4.67%
23	4.3920	4.3634	4.98%
24	4.4048	4.3521	5.61%
25	4.4043	4.3609	5.61%
26	4.4059	4.3546	4.67%
27	4.4264	4.3794	4.36%
28	4.4052	4.3482	5.30%
29	4.3998	4.3816	5.61%
