Epoch	Train Loss	Test Loss	Test Accuracy
1	4.2357	4.1259	4.54%
2	3.8945	3.9301	8.38%
3	3.7613	3.8139	9.40%
4	3.6777	3.7671	9.47%
5	3.6372	3.7470	9.98%
6	3.5212	3.6818	11.45%
7	3.5062	3.6052	11.77%
8	3.4803	3.6599	11.00%
9	3.4725	3.5925	12.03%
10	3.4528	3.6445	10.75%
11	3.4494	3.6324	11.26%
12	3.4311	3.5980	12.92%
13	3.4303	3.6188	12.28%
14	3.4267	3.6072	13.37%
15	3.4296	3.5943	12.73%
16	3.4281	3.5770	13.50%
17	3.4190	3.6020	11.96%
18	3.4183	3.5844	13.63%
19	3.4288	3.6013	12.48%
20	3.4313	3.5874	13.05%
21	3.4311	3.5647	13.05%
