Epoch	Train Loss	Test Loss	Test Accuracy
1	4.4854	4.4050	1.86%
2	4.2355	4.1683	5.31%
3	4.0360	4.0018	6.08%
4	3.9094	3.9127	8.45%
5	3.8058	3.7916	10.43%
6	3.7050	3.7442	10.24%
7	3.6697	3.7203	9.72%
8	3.6385	3.6946	11.39%
9	3.6145	3.6504	13.05%
10	3.5831	3.6288	12.67%
11	3.5581	3.6188	12.22%
12	3.5570	3.6197	11.45%
13	3.5595	3.5827	12.03%
14	3.5537	3.6142	13.44%
15	3.5436	3.5767	12.67%
16	3.5413	3.5870	13.69%
17	3.5310	3.5820	12.35%
18	3.5390	3.5778	13.05%
19	3.5321	3.5808	12.80%
20	3.5365	3.6056	13.24%
21	3.5326	3.5741	13.37%
